pretty good too.2.the,45.75
reviews before buying,45.75
technically expert though.the,45.75
absolute beauty ...,45.75
courier company services..,45.75
purchased this phone,45.75
iphone 5s user,45.75
uncomfortable here .because,45.75
power buttons hard,45.75
charger is n't,45.75
phone.camera is superb.immediately,45.75
worst piece display,45.75
6p..this is short,45.75
motorola and lenovo,45.75
great looking phone,45.75
noticed screen fluctuation,45.75
reduce the brightness,45.75
goodpositive viewscamera rear,45.75
`` the fone,45.75
heating is normal,45.75
min of recording,45.75
performance and camera.after,45.75
lot of research,45.75
`` pretty good,45.75
bit ... usp,45.75
count on app,45.75
quality ... finger,45.75
storage and ram,45.75
device in detail,45.75
found those buttons,45.75
output through headphone,45.75
superb with bass,45.75
`` good sides.1,45.75
camerafinger print scanner,45.75
missing is magnetic,45.75
setting and change,45.75
`` ghost touch,45.75
good as iphone,45.75
downloaded some apps,45.75
phone2.great display3.marshmallow os4.light,45.75
`` not technically,45.75
thinking ... .ty,45.75
bugs and battery,45.75
cameragood performancefinger print,45.75
read other mobile,45.75
delivery very slow,45.75
awsm ... .specially,45.75
image quality.faster focus,45.75
fully within 2hrs,45.75
3. call quality,45.75
quality and output,45.75
awesome works fluidic,45.75
selling my lg,45.75
heat during usage,45.75
sensorsbetter quality products,45.75
price segment.pros:1. fast,45.75
charge the battery,45.75
quality 2. lag,45.75
feel the quality..it,45.75
games always blindly,45.75
proof or water,45.75
motorola mobility team,45.75
issues.but my experience,45.75
minutes 3g data,45.75
na buy 😀,45.75
unable to communicate,45.75
've seen.. focuses,45.75
gb ram makes,45.75
hours of placing,45.75
unlocking system excites,45.75
crop & amp,45.75
order the moto,45.75
buy this budget,45.75
usage.in this lrice,45.75
budget in 15k,45.75
star de rha,45.75
good job lenovo,45.75
fon in range,45.75
inbuilt gallery '',45.75
buying the phone.with,45.75
usage.but nothing uncomfortable,45.75
game longer phone,45.75
stock and instant,45.75
lighting condition ...,45.75
smooth and silkytotally,45.75
5/5display - 4/5performance,45.75
played with xiome,45.75
picture from front,45.75
terms of form,45.75
love it '',45.75
due to high,45.75
mobile getting heating,45.75
apps like whatsapp,45.75
phone s pretty,45.75
.running smoothly ...,45.75
ist and opted,45.75
good.+very fast fingerprint,45.75
`` update v3.0,45.75
tinted displayno compass,45.75
`` poor battery,45.75
..i bought moto,45.75
product with turbo,45.75
beauty ... ..i,45.75
takes continuous multi-touch,45.75
stunning ..both front,45.75
play storeminimum brightness,45.75
people for buying,45.75
gamer ) cons,45.75
received the package,45.75
battery is required,45.75
cropped up ...,45.75
restart it 3-4,45.75
complaining for heating,45.75
usage in terms,45.75
time the finger,45.75
deserves five star.only,45.75
arrow with gps,45.75
hang every time,45.75
purchased on 26.after,45.75
eyes and buy,45.75
good in usage.suddenly,45.75
sweet and called,45.75
quality is jst,45.75
camera app hangs,45.75
ram with water,45.75
sleek as b4,45.75
`` there phone,45.75
turns using maps.6,45.75
heating in normal,45.75
wobbly in design,45.75
robust and smooth,45.75
review.prosfast for everyday,45.75
phone for normal,45.75
hrs after launching,45.75
purchase from amazon,45.75
sensor is working,45.75
responsive.. i compared,45.75
drawback i find,45.75
ordered a 3gb,45.75
running heavy apps,45.75
... absolute beauty,45.75
problem with 3.5mm,45.75
regret ur decision,45.75
due to performance,45.75
phone for 7days,45.75
cost of 15k2,45.75
voice its total,45.75
gaming for extended,45.75
range ... back,45.75
backup.there are lot,45.75
decent.sound is good.performance,45.75
customize ur ui,45.75
usage ) ..motorola,45.75
software still facing,45.75
responding very quick,45.75
`` 1. amazing,45.75
moto ... '',45.75
frequent and accurate,45.75
disappointed the users,45.75
`` wowwwwwwwwwwwwww ...,45.75
manufacturer as thier,45.75
pros:1. very good,45.75
camera hubfinger print,45.75
lag free functioningstock,45.75
back panel fitted,45.75
alarming to worry,45.75
phone and lot,45.75
soo quick..soo efficient,45.75
nice and sturdy,45.75
`` strongly recommend,45.75
32gb storage variant,45.75
opening the lock4.very,45.75
ram is avilableno,45.75
moto was nt,45.75
ruined our phone,45.75
motion video mode,45.75
love this phone,45.75
quality is great..,45.75
charing with turbo,45.75
quality both front,45.75
usage of cpu,45.75
phone nd reverse.no,45.75
phone got updated,45.75
liy is ly,45.75
overheating issues ...,45.75
great and good,45.75
resolution of display,45.75
phones from e-mobile,45.75
g1oly moto fans,45.75
quality has enhanced,45.75
feel the warmth,45.75
wait ..gud phone,45.75
good phone.. excellent,45.75
experianced any overheating,45.75
've purchased moto,45.75
search i choose,45.75
slow motion video.till,45.75
`` it reached,45.75
*fingerprint scanner works,45.75
bloated uifinger print,45.75
quality.touch is good,45.75
finger print sensor.as,45.75
phone in camera,45.75
match the quality,45.75
detailed review later.delivery,45.75
things may change,45.75
uh wo n't,45.75
light weight power,45.75
.battery and gaming,45.75
light ... '',45.75
grab this phone..,45.75
working fine ...,45.75
hu ... .i,45.75
continuously for 1-2,45.75
rear camera works,45.75
panel is raised,45.75
usage with 4g,45.75
charged properly .may,45.75
phonesfor camera 9/10for,45.75
facing problem related,45.75
sunlight is great,45.75
mini sim card..please,45.75
instant upgrade makes,45.75
good..regarding looks..functions..and everything..moreover,45.75
lock by finger,45.75
hardware awesome '',45.75
phone i read,45.75
15min 720p movie,45.75
wo n't regret,45.75
great job motorola,45.75
delivered this phone,45.75
display is nice,45.75
pretty great ...,45.75
chose another mobile,45.75
uptil now '',45.75
overheats 'a bit,45.75
3. best thing,45.75
dare to compare,45.75
battery will post,45.75
review.pros:1. good design,45.75
excellent phone heats,45.75
2/5 4- navigation/maps-,45.75
photo or video,45.75
warm on usage.but,45.75
deal with it.3,45.75
storage to external,45.75
sucks by cheating,45.75
navigation/maps- 3/5yellowish tinted,45.75
bright for night,45.75
xphone does n't,45.75
inch giant screen,45.75
awesome and camera,45.75
`` to day,45.75
dropped xiome once..so,45.75
excellent n factory,45.75
dosto koi bhi,45.75
1.nice phone2.great display3.marshmallow,45.75
battery adds cherry,45.75
weeks i purchased,45.75
price range ...,45.75
facing a problem,45.75
generation smartphone.3 gb,45.75
angle u place,45.75
15k when apple,45.75
awesome..light wait ..gud,45.75
days and played,45.75
feel of screen,45.75
phone.. excellent camera,45.75
rear is absolute,45.75
morning with fast,45.75
`` genuine product,45.75
... .can clarity,45.75
ram makes life,45.75
.phone is working,45.75
phone had arrived,45.75
player and mobile,45.75
phone competes i-phone,45.75
games or turbo-charging,45.75
updates will rectify,45.75
support - yesmicrosd,45.75
hang while taking,45.75
applications are running,45.75
calls nd package,45.75
mobilefast sensorsbetter quality,45.75
focus is good,45.75
dont even dare,45.75
panel fitted improper,45.75
n't last long//,45.75
display not accurate,45.75
find any disadvantage,45.75
awesome camera.no lags.calling,45.75
moto turbo charger,45.75
phone back side,45.75
charge within 3hrs,45.75
betweem moto g4+,45.75
huge heating issues,45.75
sadly no.ir blaster,45.75
things what ppl,45.75
phone with super,45.75
usage in wifi,45.75
... heating problem,45.75
evening ... suddenly,45.75
faced any heating,45.75
whatsapp and fb,45.75
good.the major problem,45.75
heated up.good camera,45.75
amazon a couple,45.75
true that phone,45.75
hard to press,45.75
raised above camera,45.75
lagging.. no heating,45.75
charging but cools,45.75
quality and accuracy,45.75
songs the phone,45.75
.. i suggest,45.75
low light conditions,45.75
mobile with specifications,45.75
charging tge phone,45.75
processor and metal,45.75
